Job Title,Company,Rating,Reviews,Experience,Salary,Location,Job Description,Skills,Posted,Save
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,4.0,43000 Reviews,1-3 Yrs,Not disclosed,"Bangalore/Bengaluru, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai",REQUIRED EXPERIENCE/ SKILLSA global network where only state-of-the-art tools and techn...,Change managementSASCodingData miningPythonRstatistic techniquesDebugging,20 Days Ago,Save
Sr . Data Scientist,Enlink,?,?,2-5 Yrs,Not disclosed,"Bangalore/Bengaluru, Mumbai, Navi Mumbai, Hyderabad/Secunderabad, Pune, Chennai",The ideal candidate should possess strong JAVA development skills and a solid understan...,Computer scienceFront endData modelingMISJavascriptData structuresHTMLUnit testing,2 Days Ago,Save
Data Scientist,Siemens,4.2,3969 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,". Bachelorsdegree in a related field (e.g., Computer Science, Statistics, Mathematics, ...",Data analysisdata scienceAnalyticalMachine learningDownstream processingpower biPredictive modelingStatistics,8 Days Ago,Save
Data Scientist,Response Informatics,3.9,15 Reviews,0-5 Yrs,Not disclosed,"Bangalore/Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai",Proficient with databases and data stores especially MongoDB and ElasticSearch Profici...,deep learningTDDDeploymentNatural language processingtest driven developmentMongoDBSQLPython,21 Days Ago,Save
Data Scientist,Siemens,4.2,3969 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,good German skills are desirable . With your ability to apply analytical rigor and stat...,Data analysisSASMachine learningHealthcareGermanCustomer serviceTeradataData mining,16 Days Ago,Save
Data Scientist,Careernet Technologies,?,?,2-7 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,"Experience in data mining techniques and methodologies. (data prep / modeling, classifi...",pythonAWSSQLData MiningMachine LearningDeep LearningDataMachine,26 Days Ago,Save
Data Scientist,Nestle,4.1,1886 Reviews,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"Undertaking data collection, preprocessing and analysis Building models to add...",advanced analyticsAutomationOperations researchdigital analyticsSalesExceldata scienceEconometrics,28 Days Ago,Save
Data Scientist,Infosys,3.9,29417 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Industry knowledge- Knows basic principles of industry lexicon, competitor landscape, s...",Data ScienceRSASSPSSForecastingPythonSQLData,30+ Days Ago,Save
Data Scientist,Visa Inc,4.2,14 Reviews,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Basic Qualifications: . 2-4 years of relevant work experience with a Bachelor s Degree ...,C++orchestrationLinuxArchitectureSCALAOpen sourceBusiness solutionsAnalytics,30+ Days Ago,Save
MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,3.8,18 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NL...",Trainingdeep learningtableaudata scienceCodingAnalyticalMachine learningSubject Matter Expert,30+ Days Ago,Save
